Wed Dec 28 12:54:35 2022    profile-test-chunk-mgr

         3288700 function calls (3279561 primitive calls) in 2.426 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    172/1    0.001    0.000    2.654    2.654 {built-in method builtins.exec}
        1    0.000    0.000    2.654    2.654 test-chunk-mgr.py:1(<module>)
        1    0.000    0.000    1.678    1.678 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/../graphics/graphics_library.py:44(run)
        1    0.000    0.000    1.677    1.677 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:613(run_until_complete)
        1    0.000    0.000    1.677    1.677 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:589(run_forever)
      422    0.004    0.000    1.677    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:1824(_run_once)
     4678    0.002    0.000    1.665    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/events.py:78(_run)
     4678    0.002    0.000    1.664    0.000 {method 'run' of '_contextvars.Context' objects}
     1008    0.058    0.000    0.846    0.001 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunks_module.py:40(update)
        2    0.000    0.000    0.819    0.410 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/../graphics/graphics_library.py:14(init)
        2    0.001    0.000    0.819    0.410 /Users/sk/Documents/minecraft-from-wish/playground/../graphics/pygame_backend.py:92(init)
    219/3    0.001    0.000    0.798    0.266 <frozen importlib._bootstrap>:1022(_find_and_load)
    219/3    0.000    0.000    0.798    0.266 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    208/3    0.001    0.000    0.797    0.266 <frozen importlib._bootstrap>:664(_load_unlocked)
    151/3    0.000    0.000    0.796    0.265 <frozen importlib._bootstrap_external>:877(exec_module)
    291/3    0.000    0.000    0.796    0.265 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.717    0.717 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunks_module.py:1(<module>)
   267349    0.262    0.000    0.665    0.000 test-chunk-mgr.py:18(create_collider)
        2    0.477    0.239    0.478    0.239 {built-in method pygame.display.set_mode}
     1008    0.057    0.000    0.467    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunks_module.py:45(render)
   129024    0.067    0.000    0.391    0.000 test-chunk-mgr.py:160(update)
   129024    0.125    0.000    0.386    0.000 test-chunk-mgr.py:143(render)
   119028    0.061    0.000    0.362    0.000 test-chunk-mgr.py:81(update)
        2    0.216    0.108    0.338    0.169 {built-in method pygame.base.init}
   802347    0.205    0.000    0.278    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:14(__add__)
       85    0.001    0.000    0.239    0.003 /Users/sk/Documents/minecraft-from-wish/playground/../graphics/pygame_backend.py:69(event_loop)
   139160    0.147    0.000    0.147    0.000 {method 'blit' of 'pygame.Surface' objects}
       29    0.125    0.004    0.125    0.004 {built-in method pygame.event.poll}
        1    0.000    0.000    0.105    0.105 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/macosx.py:1(<module>)
   129024    0.039    0.000    0.104    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:96(poll)
        1    0.000    0.000    0.101    0.101 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/pkgdata.py:1(<module>)
        1    0.000    0.000    0.100    0.100 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1(<module>)
